

210	"na próxima vez você vai apanhar"	00:10:10.998	00:10:12.712	00:00:01.714	
211	ai ai é	00:10:15.045	00:10:16.041	00:00:00.996	
212	bastante	00:10:21.182	00:10:22.047	00:00:00.865	
213	ah natal esse	00:10:24.528	00:10:25.695	00:00:01.167	
214	esses tempo assim sabe? eh assim num domingo	00:10:25.982	00:10:29.566	00:00:03.584	
215	que nós se ajuntava todo mundo	00:10:30.289	00:10:32.068	00:00:01.779	
216	uhum	00:10:34.768	00:10:35.295	00:00:00.527	
217	aniversário	00:10:35.536	00:10:36.732	00:00:01.196	
218	que lá em casa	00:10:39.795	00:10:41.023	00:00:01.228	
219	eh	00:10:41.858	00:10:42.476	00:00:00.618	
220	sempre	00:10:43.082	00:10:43.905	00:00:00.823	
221	a casa de lá era grande tinha um salão bem grande né?	00:10:44.527	00:10:47.438	00:00:02.911	
222	daí nós fazia sempre festa lá naquele salão	00:10:47.892	00:10:50.200	00:00:02.308	
223	daí meu pai tinha	00:10:51.595	00:10:53.653	00:00:02.058	
224	meu pai sempre tinha	00:10:53.924	00:10:54.895	00:00:00.971	
225	sempre teve bar (xxx) do norte	00:10:55.337	00:10:57.165	00:00:01.828	
226	daí ele	00:10:58.217	00:10:59.058	00:00:00.841	
227	tinha uma palhocinha que nós dançava guerreiro sabe?	00:11:00.538	00:11:02.745	00:00:02.207	
228	é	00:11:04.409	00:11:04.745	00:00:00.336	
229	como que é	00:11:05.448	00:11:06.081	00:00:00.633	
230	é	00:11:06.222	00:11:06.482	00:00:00.260	
231	tem uns tipo umas coroas	00:11:06.680	00:11:08.060	00:00:01.380	
232	daí põe na	00:11:08.725	00:11:09.674	00:00:00.949	
233	na cabeça uma em roupa	00:11:10.109	00:11:11.727	00:00:01.618	
234	a estrela de ouro era	00:11:12.284	00:11:13.680	00:00:01.396	
235	toda amarela sabe?	00:11:13.832	00:11:14.818	00:00:00.986	
236	a rainha era de vermelho era o maior legal	00:11:15.470	00:11:18.490	00:00:03.020	
237	aí eu brincava eu dançava	00:11:20.083	00:11:21.533	00:00:01.450	
238	ele gostava	00:11:21.707	00:11:22.409	00:00:00.702	
239	ah eu brincava quando eu era criança mesmo eu brincava de	00:11:25.637	00:11:29.310	00:00:03.673	
240	minhas boneca	00:11:30.008	00:11:31.079	00:00:01.071	
241	era sabe o quê? aquelas espiga de milho	00:11:31.413	00:11:33.506	00:00:02.093	
242	e os namor/ os namorados das boneca era a	00:11:34.665	00:11:37.251	00:00:02.586	
243	os pauzinho nós pintava de lapis de cor	00:11:37.695	00:11:39.715	00:00:02.020	
244	eh fazia... o narizinho	00:11:40.860	00:11:43.372	00:00:02.512	
245	tudo e falava que era o namorado da boneca	00:11:43.810	00:11:46.974	00:00:03.164	
246	bastante era legal	00:11:48.244	00:11:49.751	00:00:01.507	
247	agora as criança agora não querem brincar disso mais não	00:11:50.094	00:11:52.677	00:00:02.583	





289	daí eu só ia pra escola só pra lanchar	00:13:46.473	00:13:48.839	00:00:02.366	
290	e brincar na escola	00:13:49.438	00:13:50.555	00:00:01.117	
291	daí todo final de semana eu	00:13:52.247	00:13:53.597	00:00:01.350	
292	catava dinheiro da minha mãe escondido e pagava pra ele	00:13:53.973	00:13:56.930	00:00:02.957	
293	minha mãe falava mesmo assim	00:13:58.503	00:13:59.587	00:00:01.084	
294	"mas ta/ toda semana se some dinheiro aqui do caixa"	00:14:00.161	00:14:03.650	00:00:03.489	
295	eu de/	00:14:04.679	00:14:05.054	00:00:00.375	
296	toda semana toda semana	00:14:07.779	00:14:09.529	00:00:01.750	
297	não descobriu só descobriu quando eu vim pra aqui que eu falei	00:14:10.606	00:14:13.630	00:00:03.024	
298	daí depois eu falei	00:14:14.281	00:14:15.521	00:00:01.240	
299	só ia se a mostrar sabe pro lanche?	00:14:16.556	00:14:18.172	00:00:01.616	


649	uhum	00:29:22.273	00:29:22.608	00:00:00.335	
650	no Ipaussurama	00:29:22.813	00:29:23.723	00:00:00.910	
651	de busão	00:29:27.624	00:29:28.256	00:00:00.632	
652	tinha hora que eu ia de pé pra eu ir caminhando um pouco	00:29:29.605	00:29:32.036	00:00:02.431	
653	era	00:29:33.392	00:29:33.988	00:00:00.596	
654	era uma hora	00:29:34.180	00:29:35.001	00:00:00.821	
655	passava nos parque das flores ali olha	00:29:37.144	00:29:38.940	00:00:01.796	
656	e ia de pé vinha de pé	00:29:39.919	00:29:41.139	00:00:01.220	
657	estava até magra agora fiquei em casa estou	00:29:41.751	00:29:44.359	00:00:02.608	
658	engordei um pouco	00:29:44.802	00:29:45.872	00:00:01.070	





659	ah eu olha nem sei o que eu fazia	00:29:48.177	00:29:50.145	00:00:01.968	
660	porque botava eu pra trabalhar por isso que eu go/	00:29:51.143	00:29:53.759	00:00:02.616	
661	eu assim pe/ eu pedi pra eles me mandar embora que eu não estava gostando do	00:29:54.126	00:29:59.004	00:00:04.878	
662	do serviço	00:29:59.651	00:30:01.053	00:00:01.402	
663	por causa que ele	00:30:01.645	00:30:02.354	00:00:00.709	
664	eles pôs eu pra cozinhar	00:30:02.727	00:30:04.295	00:00:01.568	
665	pra limpar a fábrica	00:30:05.358	00:30:06.515	00:00:01.157	
666	encher travesseiro	00:30:06.954	00:30:08.247	00:00:01.293	
667	quando precisavam	00:30:08.697	00:30:09.587	00:00:00.890	
668	eu era	00:30:10.064	00:30:10.665	00:00:00.601	
669	fazia de tudo lá	00:30:11.575	00:30:12.600	00:00:01.025	
670	não sei o que	00:30:12.986	00:30:13.932	00:00:00.946	
671	o que eu era dali daquela empresa	00:30:14.612	00:30:16.319	00:00:01.707	
672	daí	00:30:17.248	00:30:17.786	00:00:00.538	
673	assim eu pedi pra eles me mandarem embora eles não mandaram	00:30:18.160	00:30:21.211	00:00:03.051	
674	daí aconteceu	00:30:21.860	00:30:23.114	00:00:01.254	
675	que	00:30:23.193	00:30:23.579	00:00:00.386	
676	queimou eu não queria sair desse jeito sabe?	00:30:24.506	00:30:26.916	00:00:02.410	
677	que eu fi/ passei até uns dia meia	00:30:27.570	00:30:29.600	00:00:02.030	
678	meia doente por causa que queimou a empresa	00:30:31.101	00:30:33.365	00:00:02.264	
679	que eu não queria que acontecesse isso	00:30:34.283	00:30:35.997	00:00:01.714	
680	eu queria que	00:30:36.205	00:30:37.049	00:00:00.844	
681	eu saísse de lá todo mundo ficasse trabalhando	00:30:37.608	00:30:40.424	00:00:02.816	
682	ficou muita gente desempregada	00:30:40.635	00:30:42.201	00:00:01.566	
683	cinquenta e po/ e pouca pessoa	00:30:43.260	00:30:45.191	00:00:01.931	
684	ficou desempregada eu não queria isso sabe?	00:30:45.653	00:30:48.052	00:00:02.399	
